actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.122547,,,0.000000,52892.601562,2237.000000,-35761.335536,0,,1,0.000000,480,0.999735,,0,0.6898685,1.785430,1.781856,,1.000000,0.206250,2345.000000,,0.776736,9.772250
-0.107536,,,0.000000,53858.691406,2225.000000,-35838.132959,0,,2,0.000000,960,0.999530,,0,0.69916767,1.785727,1.779611,,1.000000,0.216667,2427.000000,,0.772569,19.205824
-0.108458,,,0.000000,55178.238281,2238.000000,-36187.722391,0,,3,0.000000,1440,0.999747,,0,0.68425775,1.784610,1.783488,,1.000000,0.204167,2420.000000,,0.777083,28.550455
-0.108562,,,0.000000,53245.945312,2227.000000,-35601.851887,0,,4,0.000000,1920,0.998812,,0,0.68835384,1.781282,1.773982,,1.000000,0.214583,2420.000000,,0.773264,37.970526
-0.102116,,,0.000000,54163.703125,2242.000000,-35743.774932,0,,5,0.000000,2400,0.998823,,0,0.69687,1.778513,1.773143,,1.000000,0.214583,2437.000000,,0.778472,47.370612
-0.108389,,,0.000000,53199.546875,2226.000000,-35601.118469,0,,6,0.000000,2880,0.999595,,0,0.6828554,1.776427,1.761248,,1.000000,0.208333,2419.000000,,0.772917,56.759159
-0.112460,,,0.000000,52002.601562,2234.000000,-35197.063734,0,,7,0.000000,3360,0.999362,,0,0.7020698,1.770299,1.746098,,1.000000,0.204167,2447.000000,,0.775694,66.114117
-0.123797,,,0.000000,53283.144531,2258.000000,-35768.987049,0,,8,0.000000,3840,0.999165,,0,0.6958878,1.767017,1.730348,,1.000000,0.204167,2475.000000,,0.784028,75.581426
-0.121952,,,0.000000,52928.378906,2249.000000,-35645.002002,0,,9,0.000000,4320,0.997772,,0,0.6981566,1.753442,1.696026,,1.000000,0.206250,2487.000000,,0.780903,85.012199
-0.105840,,,0.000000,53071.890625,2243.000000,-35764.136021,0,,10,0.000000,4800,0.997822,,0,0.7013089,1.756078,1.699522,,1.000000,0.208333,2465.000000,,0.778819,94.403554
-0.128391,,,0.000000,50494.722656,2245.000000,-34779.017165,0,,11,0.000000,5280,0.995828,,0,0.6950525,1.741391,1.700760,,1.000000,0.204167,2443.000000,,0.779514,103.842447
-0.119297,,,0.000000,52625.730469,2253.000000,-35649.396709,0,,12,0.000000,5760,0.996076,,0,0.7045528,1.734719,1.699883,,1.000000,0.202083,2472.000000,,0.782292,113.310928
-0.135081,,,0.000000,50972.839844,2260.000000,-35060.939252,0,,13,0.000000,6240,0.995393,,0,0.70191884,1.732779,1.654244,,1.000000,0.193750,2484.000000,,0.784722,122.770429
-0.122549,,,0.000000,49980.945312,2266.000000,-34831.350911,0,,14,0.000000,6720,0.995718,,0,0.6959492,1.715736,1.591796,,1.000000,0.193750,2483.000000,,0.786806,132.149927
