actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.092812,,,0.000000,54177.847656,2220.000000,-36145.087195,0,,1,0.000000,480,0.999785,,0,0.6977531,1.786576,1.783217,,1.000000,0.202083,2415.000000,,0.770833,3.174858
-0.089935,,,0.000000,52081.808594,2212.000000,-35395.603046,0,,2,0.000000,960,0.999504,,0,0.68455744,1.786188,1.778482,,1.000000,0.222917,2368.000000,,0.768056,5.383293
-0.091061,,,0.000000,50842.558594,2209.000000,-34776.109791,0,,3,0.000000,1440,0.999885,,0,0.69221693,1.781755,1.776997,,1.000000,0.220833,2321.000000,,0.767014,7.629079
-0.089862,,,0.000000,50452.375000,2212.000000,-34503.253556,0,,4,0.000000,1920,0.999608,,0,0.69019264,1.779911,1.761599,,1.000000,0.214583,2306.000000,,0.768056,9.887788
-0.090614,,,0.000000,52415.730469,2223.000000,-35264.564285,0,,5,0.000000,2400,0.999638,,0,0.6877989,1.781520,1.765640,,1.000000,0.204167,2384.000000,,0.771875,12.814622
-0.090300,,,0.000000,51859.980469,2221.000000,-35080.802262,0,,6,0.000000,2880,0.999572,,0,0.6887676,1.780967,1.776561,,1.000000,0.216667,2342.000000,,0.771181,15.143797
-0.090335,,,0.000000,51384.339844,2207.000000,-34863.524125,0,,7,0.000000,3360,0.999696,,0,0.6803614,1.780011,1.773326,,1.000000,0.216667,2382.000000,,0.766319,17.448174
-0.090529,,,0.000000,54021.207031,2222.000000,-35892.099447,0,,8,0.000000,3840,0.999734,,0,0.6854833,1.783053,1.776377,,1.000000,0.208333,2445.000000,,0.771528,19.742895
-0.092447,,,0.000000,52772.945312,2219.000000,-35418.904938,0,,9,0.000000,4320,0.999203,,0,0.7029262,1.774382,1.760998,,1.000000,0.218750,2434.000000,,0.770486,22.036024
-0.092554,,,0.000000,53178.773438,2245.000000,-35694.335707,0,,10,0.000000,4800,0.999718,,0,0.68911606,1.769073,1.758060,,1.000000,0.208333,2484.000000,,0.779514,24.261208
-0.090127,,,0.000000,51807.601562,2226.000000,-35062.824319,0,,11,0.000000,5280,0.999378,,0,0.6829153,1.744574,1.726866,,1.000000,0.200000,2496.000000,,0.772917,26.588195
-0.087866,,,0.000000,55100.000000,2247.000000,-36160.369716,0,,12,0.000000,5760,0.999911,,0,0.71789783,1.694712,1.678086,,1.000000,0.202083,2558.000000,,0.780208,28.797481
-0.086138,,,0.000000,53677.800781,2248.000000,-35686.913932,0,,13,0.000000,6240,0.999983,,0,0.700536,1.611552,1.579176,,1.000000,0.210417,2607.000000,,0.780556,31.333924
-0.085529,,,0.000000,52402.656250,2253.000000,-35297.409109,0,,14,0.000000,6720,0.999914,,0,0.69203997,1.668937,1.653129,,1.000000,0.202083,2546.000000,,0.782292,33.439932
-0.087083,,,0.000000,52806.046875,2244.000000,-35546.163362,0,,15,0.000000,7200,0.999649,,0,0.7044147,1.715624,1.705992,,1.000000,0.210417,2559.000000,,0.779167,35.554218
-0.088113,,,0.000000,50537.585938,2222.000000,-34807.031673,0,,16,0.000000,7680,0.999735,,0,0.71149623,1.735087,1.719420,,1.000000,0.208333,2477.000000,,0.771528,37.664161
-0.088567,,,0.000000,51748.472656,2227.000000,-35290.802447,0,,17,0.000000,8160,0.999764,,0,0.70011187,1.745099,1.723942,,1.000000,0.214583,2515.000000,,0.773264,39.789718
-0.087974,,,0.000000,49851.367188,2204.000000,-34505.202446,0,,18,0.000000,8640,0.999759,,0,0.68570185,1.758199,1.738322,,1.000000,0.216667,2437.000000,,0.765278,41.903842
-0.088701,,,0.000000,49085.390625,2197.000000,-34340.267178,0,,19,0.000000,9120,0.999768,,0,0.6855486,1.756804,1.748789,,1.000000,0.229167,2403.000000,,0.762847,44.012189
-0.088025,,,0.000000,48999.929688,2214.000000,-34341.818346,0,,20,0.000000,9600,0.999442,,0,0.6828278,1.736363,1.731671,,1.000000,0.218750,2400.000000,,0.768750,46.130172
-0.090699,,,0.000000,49152.480469,2247.000000,-34520.360511,0,,21,0.000000,10080,0.999638,,0,0.6942723,1.735759,1.725650,,1.000000,0.202083,2432.000000,,0.780208,48.244277
-0.089201,,,0.000000,50511.164062,2250.000000,-35089.825272,0,,22,0.000000,10560,0.999863,,0,0.70041084,1.749246,1.736381,,1.000000,0.214583,2465.000000,,0.781250,50.457465
-0.088804,,,0.000000,50583.632812,2242.000000,-35206.285327,0,,23,0.000000,11040,0.999905,,0,0.6944003,1.736757,1.725314,,1.000000,0.212500,2534.000000,,0.778472,52.848358
