actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
1.110457,,1.114224,0.231563,53355.980469,2223.000000,-35768.098314,0,,1,0.000000,480,0.999962,0.500000,0,0.68971145,1.789060,1.784270,,1.000000,0.208333,2417.000000,,0.771875,2.471407
0.221695,,1.096870,0.451755,53317.285156,2225.000000,-35707.118920,0,,2,0.000000,960,0.999588,0.134194,0,0.6841379,1.785461,1.776306,,1.000000,0.220833,2422.000000,,0.772569,4.484006
0.639356,,1.622547,0.664584,55272.734375,2260.000000,-36410.123272,0,,3,0.000000,1440,0.999694,0.358790,0,0.6841946,1.780874,1.772601,,1.000000,0.208333,2462.000000,,0.784722,6.528678
0.804743,,1.213465,0.864272,54184.234375,2236.000000,-35738.544965,0,,4,0.000000,1920,0.999796,0.577191,0,0.6916513,1.783106,1.777360,,1.000000,0.200000,2408.000000,,0.776389,8.486442
0.827788,,0.653977,1.054704,54124.769531,2243.000000,-35903.346569,0,,5,0.000000,2400,0.999893,0.784390,0,0.6889953,1.784969,1.775546,,1.000000,0.202083,2385.000000,,0.778819,10.460838
0.967150,,0.743376,1.231135,51573.343750,2200.000000,-34829.668570,0,,6,0.000000,2880,0.999820,0.984277,0,0.6922283,1.777462,1.770242,,1.000000,0.214583,2364.000000,,0.763889,12.443880
1.095116,,0.503296,1.402808,52730.328125,2239.000000,-35538.013595,0,,7,0.000000,3360,0.999424,1.171880,0,0.691233,1.768261,1.754491,,1.000000,0.206250,2439.000000,,0.777431,14.417521
1.150522,,0.319937,1.564646,51619.300781,2227.000000,-34920.132042,0,,8,0.000000,3840,0.999973,1.356533,0,0.69812274,1.768509,1.756688,,1.000000,0.212500,2457.000000,,0.773264,16.390126
1.127808,,0.274039,1.719122,51498.566406,2234.000000,-34950.972184,0,,9,0.000000,4320,0.999866,1.532920,0,0.699563,1.766686,1.760467,,1.000000,0.212500,2441.000000,,0.775694,18.378649
0.820460,,0.201803,1.864937,49211.945312,2225.000000,-34200.613270,0,,10,0.000000,4800,0.999259,1.703513,0,0.7010467,1.760345,1.747349,,1.000000,0.202083,2378.000000,,0.772569,20.364124
0.711262,,0.101615,2.002940,49242.882812,2220.000000,-34348.556174,0,,11,0.000000,5280,0.999688,1.866891,0,0.689147,1.750996,1.718373,,1.000000,0.214583,2387.000000,,0.770833,22.359838
-0.016626,,0.061624,2.134356,45385.496094,2223.000000,-32992.995652,0,,12,0.000000,5760,0.999088,2.023845,0,0.68540746,1.738562,1.718372,,1.000000,0.212500,2303.000000,,0.771875,24.348666
-0.027068,,0.035960,2.258784,45148.074219,2219.000000,-32818.821813,0,,13,0.000000,6240,0.999885,2.175538,0,0.6794167,1.724714,1.693079,,1.000000,0.210417,2273.000000,,0.770486,26.327677
-0.984136,,0.200502,2.376470,40999.328125,2214.000000,-31412.034897,0,,14,0.000000,6720,0.999701,2.321484,0,0.6540041,1.718934,1.702122,,1.000000,0.216667,2153.000000,,0.768750,28.310688
-1.472863,,0.344640,2.483375,37629.261719,2167.000000,-30048.936044,0,,15,0.000000,7200,0.999571,2.461867,0,0.6535312,1.689366,1.660795,,1.000000,0.233333,2086.000000,,0.752431,30.294079
