actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.111736,,,0.000000,3583.322754,0.000000,-10671.560234,0,,1,0.000000,480,0.999820,,0,0.56899494,1.440580,1.409662,,1.000000,1.000000,1351.000000,,0.000000,5.004111
-0.118875,,,0.000000,3696.659180,0.000000,-10636.771594,0,,2,0.000000,960,0.999906,,0,0.566363,1.454215,1.442951,,1.000000,1.000000,1370.000000,,0.000000,9.703067
-0.129001,,,0.000000,3854.518066,0.000000,-10675.706163,0,,3,0.000000,1440,0.999852,,0,0.5997163,1.447761,1.430601,,1.000000,1.000000,1359.000000,,0.000000,14.721852
-0.133497,,,0.000000,3888.953613,0.000000,-10615.895257,0,,4,0.000000,1920,0.999905,,0,0.58262825,1.448234,1.440118,,1.000000,1.000000,1360.000000,,0.000000,19.865692
-0.131387,,,0.000000,3791.655029,0.000000,-10472.753609,0,,5,0.000000,2400,0.999889,,0,0.5786628,1.462689,1.454626,,1.000000,1.000000,1384.000000,,0.000000,25.194961
-0.129105,,,0.000000,3793.656982,0.000000,-10492.425152,0,,6,0.000000,2880,0.999632,,0,0.5809192,1.461584,1.439054,,1.000000,1.000000,1383.000000,,0.000000,30.710075
-0.129838,,,0.000000,3784.057129,0.000000,-10443.561809,0,,7,0.000000,3360,0.999915,,0,0.57532585,1.464445,1.453445,,1.000000,1.000000,1388.000000,,0.000000,36.299947
-0.127877,,,0.000000,3722.164307,0.000000,-10406.651095,0,,8,0.000000,3840,0.999610,,0,0.5765692,1.467864,1.437132,,1.000000,1.000000,1397.000000,,0.000000,41.967530
-0.127510,,,0.000000,3713.391357,0.000000,-10357.004606,0,,9,0.000000,4320,0.999967,,0,0.59375125,1.475582,1.468804,,1.000000,1.000000,1409.000000,,0.000000,47.699260
-0.127038,,,0.000000,3584.817383,0.000000,-10207.236901,0,,10,0.000000,4800,0.999562,,0,0.6090902,1.478300,1.449724,,1.000000,1.000000,1420.000000,,0.000000,53.441759
-0.126356,,,0.000000,3731.839600,0.000000,-10463.737137,0,,11,0.000000,5280,0.999731,,0,0.6047673,1.464662,1.453285,,1.000000,1.000000,1391.000000,,0.000000,59.268525
-0.126577,,,0.000000,3657.369141,0.000000,-10343.005925,0,,12,0.000000,5760,0.999589,,0,0.62291783,1.467523,1.450195,,1.000000,1.000000,1398.000000,,0.000000,65.126188
-0.128483,,,0.000000,3613.886963,0.000000,-10278.824289,0,,13,0.000000,6240,0.999963,,0,0.57514995,1.470958,1.462531,,1.000000,1.000000,1404.000000,,0.000000,70.926049
-0.125943,,,0.000000,3448.313965,0.000000,-10118.199939,0,,14,0.000000,6720,0.999762,,0,0.5806537,1.483537,1.470368,,1.000000,1.000000,1432.000000,,0.000000,76.702524
-0.124907,,,0.000000,3400.918945,0.000000,-10087.277069,0,,15,0.000000,7200,0.999887,,0,0.5901712,1.483519,1.474313,,1.000000,1.000000,1435.000000,,0.000000,82.483049
-0.124341,,,0.000000,3384.045898,0.000000,-10067.080453,0,,16,0.000000,7680,0.999772,,0,0.56241494,1.484890,1.465304,,1.000000,1.000000,1441.000000,,0.000000,88.260332
-0.124230,,,0.000000,3369.086182,0.000000,-10082.889820,0,,17,0.000000,8160,0.999592,,0,0.588307,1.482256,1.457716,,1.000000,1.000000,1443.000000,,0.000000,94.048986
