actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.102663,,,0.000000,1489.789062,27.000000,-7577.859341,6820,,1,0.732639,480,0.999848,,0,0.6585352,1.787834,1.785751,,0.527374,0.943750,2405.000000,,0.009375,2.015560
-0.097047,,,0.000000,2063.370605,185.000000,-7996.615367,7187,,2,0.737500,960,0.999701,,0,0.6733476,1.785392,1.777893,,0.509888,0.731250,2444.000000,,0.064236,3.539432
-0.091238,,,0.000000,4688.180176,561.000000,-9842.324504,7815,,3,0.772569,1440,0.999785,,0,0.67562914,1.775683,1.767621,,0.482519,0.572917,2517.000000,,0.194792,5.054738
-0.101892,,,0.000000,1635.413208,121.000000,-6876.720039,7427,,4,0.763542,1920,0.999856,,0,0.66938084,1.771735,1.755748,,0.499663,0.779167,2474.000000,,0.042014,6.574899
-0.088931,,,0.000000,3968.804932,799.000000,-9430.127992,8403,,5,0.793750,2400,0.999815,,0,0.6889644,1.743132,1.728122,,0.452716,0.412500,2559.000000,,0.277431,8.099551
-0.087205,,,0.000000,8153.051758,1044.000000,-11944.807473,8555,,6,0.800347,2880,0.999752,,0,0.6940141,1.721248,1.709865,,0.452655,0.406250,2605.000000,,0.362500,9.620348
-0.087288,,,0.000000,8778.620117,1255.000000,-13016.680938,8694,,7,0.810417,3360,0.999956,,0,0.7001761,1.716859,1.707331,,0.440108,0.404167,2588.000000,,0.435764,11.141623
-0.088258,,,0.000000,5514.966309,1016.000000,-10503.967825,8730,,8,0.819097,3840,0.999869,,0,0.681716,1.717713,1.702058,,0.438874,0.377083,2593.000000,,0.352778,12.658430
-0.089123,,,0.000000,10993.922852,1247.000000,-14076.013325,8700,,9,0.806250,4320,0.999933,,0,0.690509,1.721464,1.700794,,0.441448,0.331250,2596.000000,,0.432986,14.189297
-0.086223,,,0.000000,4911.982910,941.000000,-10083.020203,8664,,10,0.795833,4800,0.999898,,0,0.6744934,1.709198,1.697087,,0.435937,0.429167,2560.000000,,0.326736,15.706073
-0.085294,,,0.000000,5863.054199,1046.000000,-10631.714466,8925,,11,0.806250,5280,0.999946,,0,0.6892432,1.692589,1.663052,,0.426119,0.387500,2592.000000,,0.363194,17.225450
-0.087460,,,0.000000,4608.426270,924.000000,-9769.269942,8760,,12,0.793403,5760,0.999736,,0,0.68200445,1.687467,1.673257,,0.428571,0.420833,2555.000000,,0.320833,18.745944
-0.084845,,,0.000000,4668.938965,511.000000,-8323.074263,8593,,13,0.782292,6240,0.999544,,0,0.7119735,1.687694,1.645530,,0.431454,0.360417,2519.000000,,0.177431,20.257498
-0.086226,,,0.000000,3512.275879,528.000000,-8093.953475,8282,,14,0.765278,6720,0.999884,,0,0.6754005,1.686656,1.672043,,0.442740,0.522917,2477.000000,,0.183333,21.803186
