actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.091673,,,0.000000,52559.113281,2194.000000,-35462.212057,0,,1,0.000000,480,0.999787,,0,0.6968737,1.784031,1.779713,,1.000000,0.220833,2372.000000,,0.761806,1.863209
-0.091060,,,0.000000,50977.203125,2217.000000,-34898.793795,0,,2,0.000000,960,0.999172,,0,0.6857784,1.784883,1.778372,,1.000000,0.214583,2379.000000,,0.769792,3.333325
-0.090632,,,0.000000,51542.433594,2223.000000,-35074.929220,0,,3,0.000000,1440,0.999836,,0,0.6869095,1.781690,1.775075,,1.000000,0.218750,2328.000000,,0.771875,4.855514
-0.089839,,,0.000000,51873.246094,2232.000000,-35142.491678,0,,4,0.000000,1920,0.999855,,0,0.6893889,1.778545,1.773900,,1.000000,0.216667,2395.000000,,0.775000,6.377640
-0.089657,,,0.000000,51641.882812,2239.000000,-35063.334500,0,,5,0.000000,2400,0.999560,,0,0.70851636,1.766561,1.756067,,1.000000,0.208333,2380.000000,,0.777431,7.900614
-0.090106,,,0.000000,51056.058594,2259.000000,-34988.914681,0,,6,0.000000,2880,0.999558,,0,0.6783497,1.773126,1.753508,,1.000000,0.193750,2398.000000,,0.784375,9.419740
-0.092459,,,0.000000,53092.769531,2264.000000,-35789.621191,0,,7,0.000000,3360,0.999741,,0,0.6832084,1.764696,1.752244,,1.000000,0.195833,2418.000000,,0.786111,10.943678
-0.089618,,,0.000000,52934.535156,2279.000000,-35836.558839,0,,8,0.000000,3840,0.999949,,0,0.6929414,1.747285,1.734641,,1.000000,0.197917,2498.000000,,0.791319,12.462030
-0.089584,,,0.000000,52890.027344,2296.000000,-35765.180306,0,,9,0.000000,4320,0.999873,,0,0.7028522,1.721822,1.708497,,1.000000,0.195833,2543.000000,,0.797222,13.980755
-0.088628,,,0.000000,53330.089844,2299.000000,-35982.894215,0,,10,0.000000,4800,0.999938,,0,0.70271134,1.714059,1.680753,,1.000000,0.195833,2582.000000,,0.798264,15.496785
-0.085599,,,0.000000,51457.312500,2299.000000,-35323.666099,0,,11,0.000000,5280,0.999810,,0,0.7059637,1.663956,1.632145,,1.000000,0.195833,2629.000000,,0.798264,17.017406
-0.085790,,,0.000000,51370.222656,2308.000000,-35379.482380,0,,12,0.000000,5760,0.999889,,0,0.7133612,1.654528,1.628923,,1.000000,0.195833,2624.000000,,0.801389,18.532888
-0.086001,,,0.000000,51828.277344,2305.000000,-35570.680855,0,,13,0.000000,6240,0.999850,,0,0.697658,1.690182,1.666964,,1.000000,0.193750,2610.000000,,0.800347,20.055747
-0.089681,,,0.000000,52227.839844,2288.000000,-35573.444417,0,,14,0.000000,6720,0.999891,,0,0.7116808,1.694865,1.666692,,1.000000,0.195833,2610.000000,,0.794444,21.578996
-0.088184,,,0.000000,51832.210938,2299.000000,-35599.860149,0,,15,0.000000,7200,0.999912,,0,0.7012089,1.728346,1.688509,,1.000000,0.187500,2547.000000,,0.798264,23.102755
-0.088683,,,0.000000,51226.972656,2260.000000,-35296.809332,0,,16,0.000000,7680,0.999794,,0,0.6965234,1.749863,1.731376,,1.000000,0.202083,2472.000000,,0.784722,24.620357
-0.089989,,,0.000000,50602.945312,2257.000000,-35012.804711,0,,17,0.000000,8160,0.999694,,0,0.69282323,1.754410,1.739869,,1.000000,0.197917,2462.000000,,0.783681,26.140970
-0.088840,,,0.000000,51406.968750,2268.000000,-35425.436041,0,,18,0.000000,8640,0.999718,,0,0.69143075,1.762830,1.749265,,1.000000,0.195833,2420.000000,,0.787500,27.656806
-0.090423,,,0.000000,48758.800781,2210.000000,-34309.508827,0,,19,0.000000,9120,0.999641,,0,0.68091714,1.765793,1.753771,,1.000000,0.206250,2373.000000,,0.767361,29.177562
-0.088817,,,0.000000,51938.824219,2256.000000,-35660.852766,0,,20,0.000000,9600,0.999969,,0,0.67676896,1.777993,1.769464,,1.000000,0.202083,2418.000000,,0.783333,30.685930
-0.090345,,,0.000000,51050.796875,2236.000000,-35194.412156,0,,21,0.000000,10080,0.999522,,0,0.6984625,1.783109,1.775877,,1.000000,0.208333,2391.000000,,0.776389,32.223397
-0.089932,,,0.000000,51800.968750,2257.000000,-35612.806546,0,,22,0.000000,10560,0.999839,,0,0.6896487,1.781123,1.777838,,1.000000,0.208333,2419.000000,,0.783681,33.738317
-0.089679,,,0.000000,52789.625000,2225.000000,-35893.012073,0,,23,0.000000,11040,0.999798,,0,0.6907134,1.781598,1.770761,,1.000000,0.214583,2446.000000,,0.772569,35.250079
-0.089023,,,0.000000,51867.679688,2259.000000,-35672.053686,0,,24,0.000000,11520,0.999858,,0,0.6956967,1.770965,1.744437,,1.000000,0.208333,2453.000000,,0.784375,36.766992
-0.090415,,,0.000000,51072.285156,2249.000000,-35409.261930,0,,25,0.000000,12000,0.999956,,0,0.70082885,1.778076,1.774078,,1.000000,0.208333,2394.000000,,0.780903,38.296420
-0.089038,,,0.000000,51131.093750,2259.000000,-35543.036890,0,,26,0.000000,12480,0.999585,,0,0.68829757,1.767932,1.757557,,1.000000,0.210417,2438.000000,,0.784375,39.824560
-0.090122,,,0.000000,51046.601562,2260.000000,-35430.695360,0,,27,0.000000,12960,0.999593,,0,0.69213235,1.756857,1.746234,,1.000000,0.204167,2455.000000,,0.784722,41.344205
-0.089008,,,0.000000,50965.480469,2268.000000,-35517.744373,0,,28,0.000000,13440,0.999860,,0,0.68606585,1.757380,1.749040,,1.000000,0.210417,2458.000000,,0.787500,42.862163
-0.088556,,,0.000000,50620.046875,2267.000000,-35371.926240,0,,29,0.000000,13920,0.999724,,0,0.7064855,1.738881,1.721055,,1.000000,0.195833,2499.000000,,0.787153,44.372545
-0.089194,,,0.000000,49134.453125,2265.000000,-34848.072843,0,,30,0.000000,14400,0.999697,,0,0.6842044,1.718623,1.700404,,1.000000,0.195833,2506.000000,,0.786458,45.890232
-0.089486,,,0.000000,49368.203125,2277.000000,-35093.008544,0,,31,0.000000,14880,0.999546,,0,0.6841203,1.734334,1.725127,,1.000000,0.195833,2473.000000,,0.790625,47.411595
