actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.094565,,,0.000000,1758.743408,137.000000,-7120.229538,6487,,1,0.703472,480,0.999787,,0,0.6722053,1.784268,1.780469,,0.544196,0.720833,2372.000000,,0.047569,2.017378
-0.094906,,,0.000000,2095.331543,267.000000,-7225.203777,7049,,2,0.735417,960,0.999486,,0,0.6830496,1.785266,1.781408,,0.518314,0.716667,2439.000000,,0.092708,3.525860
-0.096437,,,0.000000,2138.956055,269.000000,-7093.432951,7345,,3,0.751389,1440,0.999853,,0,0.66318095,1.782292,1.769678,,0.503984,0.706250,2468.000000,,0.093403,5.033462
-0.090235,,,0.000000,6187.115234,961.000000,-10927.584082,8269,,4,0.788889,1920,0.999917,,0,0.68773186,1.754855,1.742202,,0.463122,0.260417,2567.000000,,0.333681,6.549377
-0.088952,,,0.000000,2371.359863,405.000000,-7135.795684,8134,,5,0.780208,2400,0.999672,,0,0.694517,1.755221,1.714671,,0.465220,0.412500,2535.000000,,0.140625,8.055150
-0.091229,,,0.000000,2427.469971,418.000000,-7156.223290,7897,,6,0.773264,2880,0.999633,,0,0.6816158,1.751987,1.747214,,0.476257,0.650000,2513.000000,,0.145139,9.560369
-0.088609,,,0.000000,3688.548096,649.000000,-8363.637168,8065,,7,0.784028,3360,0.999866,,0,0.67741466,1.735637,1.720349,,0.466177,0.547917,2518.000000,,0.225347,11.071075
-0.088244,,,0.000000,7394.693359,920.000000,-10793.767535,8641,,8,0.805556,3840,0.999944,,0,0.6834988,1.704996,1.692170,,0.438313,0.416667,2564.000000,,0.319444,12.587639
-0.089347,,,0.000000,3412.166504,703.000000,-8091.075173,8421,,9,0.807292,4320,0.999917,,0,0.68464875,1.697169,1.682436,,0.448310,0.477083,2544.000000,,0.244097,14.105999
-0.085848,,,0.000000,4623.440430,1020.000000,-9644.209104,8414,,10,0.804861,4800,0.999760,,0,0.6781291,1.663925,1.627475,,0.449201,0.483333,2546.000000,,0.354167,15.621933
-0.084661,,,0.000000,7101.420410,934.000000,-10523.543077,8439,,11,0.805903,5280,0.999628,,0,0.6861603,1.622771,1.603194,,0.446913,0.479167,2543.000000,,0.324306,17.143760
-0.082903,,,0.000000,4543.469238,773.000000,-8701.740574,8317,,12,0.796528,5760,0.999753,,0,0.6827622,1.611277,1.575719,,0.445089,0.443750,2498.000000,,0.268403,18.660114
-0.087250,,,0.000000,1187.618408,232.000000,-5301.741551,7614,,13,0.754514,6240,0.999487,,0,0.6590866,1.630077,1.607211,,0.466358,0.714583,2378.000000,,0.080556,20.173725
-0.080850,,,0.000000,2297.036865,405.000000,-6316.453988,8245,,14,0.785069,6720,0.999656,,0,0.67444146,1.608680,1.570972,,0.439802,0.493750,2453.000000,,0.140625,21.700216
-0.082881,,,0.000000,3765.975830,784.000000,-8374.774116,8493,,15,0.792361,7200,0.999840,,0,0.68210757,1.602705,1.570838,,0.432210,0.502083,2493.000000,,0.272222,23.266558
-0.085065,,,0.000000,1526.977417,369.000000,-5865.517990,8329,,16,0.785764,7680,0.999704,,0,0.6764698,1.641340,1.617097,,0.435934,0.600000,2461.000000,,0.128125,24.786276
-0.082680,,,0.000000,1559.713257,353.000000,-5853.884633,8221,,17,0.771528,8160,0.999674,,0,0.6738485,1.661694,1.630470,,0.441432,0.566667,2453.000000,,0.122569,26.305175
-0.082903,,,0.000000,2147.736572,583.000000,-6824.539614,8186,,18,0.771528,8640,0.999779,,0,0.6683586,1.644661,1.628086,,0.445167,0.566667,2459.000000,,0.202431,27.822284
-0.082448,,,0.000000,1948.407715,451.000000,-6195.845434,8377,,19,0.773611,9120,0.999727,,0,0.6801757,1.623904,1.608746,,0.432222,0.612500,2459.000000,,0.156597,29.336433
-0.082994,,,0.000000,2862.246582,713.000000,-7676.491084,8371,,20,0.774653,9600,0.999919,,0,0.669508,1.637166,1.604694,,0.436751,0.487500,2477.000000,,0.247569,30.867583
-0.084119,,,0.000000,1793.033691,445.000000,-6141.551220,8336,,21,0.774653,10080,0.999787,,0,0.67052335,1.660584,1.641428,,0.438653,0.572917,2475.000000,,0.154514,32.383517
-0.082759,,,0.000000,1795.775879,498.000000,-6278.832833,8497,,22,0.783333,10560,0.999893,,0,0.6777234,1.644533,1.613512,,0.434438,0.589583,2504.000000,,0.172917,33.898383
-0.083519,,,0.000000,3055.385498,817.000000,-7917.921224,8769,,23,0.798611,11040,0.999806,,0,0.67563176,1.635411,1.596566,,0.421646,0.556250,2527.000000,,0.283681,35.445585
-0.089103,,,0.000000,6054.780762,1025.000000,-10271.214727,8728,,24,0.793403,11520,0.999959,,0,0.68326414,1.635539,1.623623,,0.425033,0.502083,2530.000000,,0.355903,36.978187
-0.084716,,,0.000000,749.727356,142.000000,-4828.614444,7874,,25,0.761111,12000,0.999961,,0,0.6793622,1.672810,1.654076,,0.460167,0.781250,2431.000000,,0.049306,38.508110
-0.084595,,,0.000000,1808.225952,521.000000,-6345.048214,8365,,26,0.777083,12480,0.999622,,0,0.6762817,1.651260,1.618683,,0.438967,0.652083,2485.000000,,0.180903,40.049288
-0.084825,,,0.000000,2018.906860,574.000000,-6455.465208,8737,,27,0.792708,12960,0.999733,,0,0.68929577,1.630340,1.606432,,0.423529,0.556250,2526.000000,,0.199306,41.565305
-0.081933,,,0.000000,3796.218262,1042.000000,-8967.890447,8892,,28,0.795139,13440,0.999941,,0,0.67511326,1.618460,1.602749,,0.417453,0.485417,2544.000000,,0.361806,43.081095
-0.084831,,,0.000000,11616.031250,1540.000000,-14634.945682,9282,,29,0.811458,13920,0.999812,,0,0.6979674,1.588585,1.561370,,0.403624,0.372917,2594.000000,,0.534722,44.539040
-0.078260,,,0.000000,1335.334961,455.000000,-5486.733794,9047,,30,0.792361,14400,0.999821,,0,0.67292607,1.569875,1.531858,,0.405194,0.608333,2535.000000,,0.157986,45.795171
-0.083071,,,0.000000,4163.327148,805.000000,-8375.653631,8988,,31,0.786806,14880,0.999486,,0,0.6860987,1.590562,1.564440,,0.408139,0.468750,2531.000000,,0.279514,46.893285
-0.081301,,,0.000000,3299.873291,923.000000,-8373.646165,8922,,32,0.785069,15360,0.999863,,0,0.69615626,1.579330,1.558139,,0.408748,0.558333,2515.000000,,0.320486,47.979306
-0.081948,,,0.000000,883.643250,266.000000,-4961.293844,8351,,33,0.763194,15840,0.999642,,0,0.669493,1.590114,1.560798,,0.427465,0.710417,2431.000000,,0.092361,49.284218
-0.083474,,,0.000000,1707.339233,536.000000,-6205.152183,8402,,34,0.766319,16320,0.999662,,0,0.67295384,1.596705,1.553377,,0.430527,0.679167,2459.000000,,0.186111,50.691122
-0.079731,,,0.000000,2089.572266,655.000000,-6737.515936,8812,,35,0.790972,16800,0.999806,,0,0.6862854,1.584088,1.554191,,0.412063,0.587500,2498.000000,,0.227431,52.206028
-0.081976,,,0.000000,3826.016846,786.000000,-8213.080817,8904,,36,0.803125,17280,0.999847,,0,0.68629146,1.592405,1.569130,,0.414365,0.420833,2534.000000,,0.272917,53.718028
-0.081612,,,0.000000,1967.339600,463.000000,-6088.484812,8605,,37,0.789931,17760,0.999918,,0,0.6913753,1.594484,1.557530,,0.428163,0.641667,2508.000000,,0.160764,55.238766
