actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.098367,,,0.000000,1156.026978,21.000000,-6351.011173,6678,,1,0.716667,480,0.999762,,0,0.6638901,1.787382,1.780056,,0.532549,0.956250,2381.000000,,0.007292,1.761363
-0.091251,,,0.000000,4274.154297,234.000000,-8366.345437,7071,,2,0.739236,960,0.999388,,0,0.68009347,1.784238,1.779230,,0.518390,0.597917,2447.000000,,0.081250,3.019387
-0.092923,,,0.000000,1790.658936,204.000000,-6662.815610,7210,,3,0.740972,1440,0.999721,,0,0.6638727,1.781284,1.774713,,0.509524,0.747917,2450.000000,,0.070833,4.282785
-0.091697,,,0.000000,2564.555176,395.000000,-7536.748689,7643,,4,0.756597,1920,0.999712,,0,0.6682954,1.774276,1.771670,,0.485735,0.666667,2477.000000,,0.137153,5.562617
-0.089992,,,0.000000,4032.381348,533.000000,-8566.858325,7972,,5,0.767361,2400,0.999870,,0,0.6793772,1.761756,1.744155,,0.471913,0.460417,2516.000000,,0.185069,6.850344
-0.091833,,,0.000000,2614.223877,425.000000,-7442.959720,7968,,6,0.771181,2880,0.999752,,0,0.6822251,1.762330,1.748773,,0.466881,0.527083,2491.000000,,0.147569,8.179789
-0.092551,,,0.000000,4393.462402,639.000000,-8706.584423,7977,,7,0.763542,3360,0.999937,,0,0.6790134,1.745465,1.737087,,0.465850,0.472917,2489.000000,,0.221875,9.543725
-0.086823,,,0.000000,2480.184326,477.000000,-7061.376407,8472,,8,0.780556,3840,0.999982,,0,0.6826859,1.718534,1.695183,,0.441897,0.610417,2530.000000,,0.165625,10.940928
-0.091444,,,0.000000,2386.371338,528.000000,-6972.951351,8326,,9,0.772569,4320,0.999897,,0,0.67274004,1.706958,1.688353,,0.445820,0.600000,2504.000000,,0.183333,12.289834
-0.089622,,,0.000000,10112.518555,1048.000000,-12106.156053,8863,,10,0.785069,4800,0.999486,,0,0.6991386,1.643761,1.627404,,0.418896,0.410417,2542.000000,,0.363889,13.734255
-0.083939,,,0.000000,6893.231445,901.000000,-10127.621078,9022,,11,0.793056,5280,0.999879,,0,0.6965367,1.603699,1.544904,,0.409168,0.379167,2545.000000,,0.312847,15.259088
-0.082803,,,0.000000,4807.925293,745.000000,-8627.247552,8939,,12,0.773264,5760,0.999860,,0,0.692069,1.583313,1.552481,,0.407385,0.429167,2514.000000,,0.258681,16.781065
-0.087863,,,0.000000,831.439087,143.000000,-4809.197430,8057,,13,0.737847,6240,0.999798,,0,0.6705035,1.631424,1.617864,,0.439318,0.827083,2395.000000,,0.049653,18.301112
-0.084557,,,0.000000,1757.461548,432.000000,-6174.036772,8388,,14,0.765625,6720,0.999801,,0,0.67143065,1.649565,1.629720,,0.429853,0.631250,2452.000000,,0.150000,19.826194
-0.082147,,,0.000000,4327.814453,932.000000,-9158.785256,8740,,15,0.785764,7200,0.999816,,0,0.67642236,1.646472,1.585342,,0.418960,0.489583,2507.000000,,0.323611,21.345960
-0.085740,,,0.000000,3175.290771,885.000000,-8268.677710,8773,,16,0.782986,7680,0.999982,,0,0.67095184,1.642509,1.616900,,0.419084,0.525000,2517.000000,,0.307292,22.886390
-0.083382,,,0.000000,4308.477051,572.000000,-7686.933025,8729,,17,0.786111,8160,0.999878,,0,0.7010663,1.650728,1.630243,,0.419923,0.441667,2508.000000,,0.198611,24.413486
-0.084621,,,0.000000,2603.167480,565.000000,-7014.355537,8575,,18,0.777778,8640,0.999730,,0,0.67548555,1.665547,1.646807,,0.426728,0.491667,2493.000000,,0.196181,25.956581
-0.084254,,,0.000000,4447.886230,895.000000,-9138.337130,8668,,19,0.783681,9120,0.999902,,0,0.6853922,1.642968,1.599621,,0.419579,0.506250,2489.000000,,0.310764,27.493724
-0.081762,,,0.000000,1734.595825,309.000000,-5771.700268,8461,,20,0.764583,9600,0.999427,,0,0.6853161,1.625930,1.609378,,0.425126,0.641667,2453.000000,,0.107292,29.027446
-0.085767,,,0.000000,1097.799194,212.000000,-5309.752822,7965,,21,0.750000,10080,0.998963,,0,0.6717894,1.659628,1.623463,,0.445952,0.714583,2396.000000,,0.073611,30.559145
-0.083096,,,0.000000,2189.951416,522.000000,-6689.166156,8738,,22,0.778125,10560,0.999879,,0,0.6772064,1.613516,1.582332,,0.413714,0.491667,2484.000000,,0.181250,32.084044
