actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.091438,,,0.000000,68675.890625,2171.000000,-40272.573127,8350,,1,0.728472,480,0.999762,,0,0.75086075,1.787382,1.780056,,0.415512,0.235417,2381.000000,,0.753819,2.015277
-0.090639,,,0.000000,70385.265625,2178.000000,-40729.679868,8226,,2,0.723958,960,0.999265,,0,0.7351762,1.785222,1.781787,,0.426839,0.235417,2392.000000,,0.756250,3.539202
-0.090517,,,0.000000,75276.851562,2180.000000,-41663.967471,8086,,3,0.707639,1440,0.999460,,0,0.76865786,1.781384,1.768670,,0.423335,0.233333,2337.000000,,0.756944,5.057225
-0.092184,,,0.000000,74013.281250,2180.000000,-41423.423397,8110,,4,0.718750,1920,0.999780,,0,0.7604287,1.783683,1.766705,,0.426044,0.233333,2355.000000,,0.756944,6.576376
-0.091109,,,0.000000,74273.882812,2180.000000,-41614.600810,8215,,5,0.726042,2400,0.999813,,0,0.7532838,1.782672,1.778534,,0.428800,0.231250,2397.000000,,0.756944,8.095741
-0.089869,,,0.000000,70930.937500,2153.000000,-40708.618377,8325,,6,0.733681,2880,0.999581,,0,0.7644433,1.786376,1.782904,,0.417751,0.247917,2383.000000,,0.747569,9.618749
-0.090671,,,0.000000,71068.070312,2191.000000,-40750.281626,8236,,7,0.726736,3360,0.999849,,0,0.7639417,1.786622,1.784103,,0.425903,0.229167,2391.000000,,0.760764,11.137177
-0.090501,,,0.000000,74170.437500,2183.000000,-41437.895673,8574,,8,0.744097,3840,0.999976,,0,0.7650367,1.784959,1.779383,,0.417685,0.222917,2454.000000,,0.757986,12.664536
-0.092219,,,0.000000,74861.015625,2203.000000,-41865.196855,8572,,9,0.745139,4320,0.999881,,0,0.74875575,1.783496,1.777013,,0.416156,0.225000,2447.000000,,0.764931,14.187120
-0.090073,,,0.000000,77943.195312,2206.000000,-42784.910561,8670,,10,0.751389,4800,0.999794,,0,0.7616167,1.779960,1.771643,,0.412602,0.225000,2460.000000,,0.765972,15.707238
-0.091788,,,0.000000,79405.632812,2190.000000,-42864.047418,8888,,11,0.760417,5280,0.999789,,0,0.7698196,1.767050,1.762888,,0.405087,0.229167,2490.000000,,0.760417,17.236319
-0.088593,,,0.000000,82571.804688,2223.000000,-43660.610434,9196,,12,0.776042,5760,0.999815,,0,0.770175,1.730911,1.718137,,0.400130,0.220833,2555.000000,,0.771875,18.787596
-0.086434,,,0.000000,78385.171875,2211.000000,-42536.985621,8963,,13,0.761458,6240,0.999875,,0,0.77844834,1.723850,1.711609,,0.404135,0.227083,2507.000000,,0.767708,20.302224
-0.088140,,,0.000000,85730.710938,2222.000000,-44627.515412,8967,,14,0.758333,6720,0.999874,,0,0.7694628,1.725085,1.701792,,0.399075,0.222917,2487.000000,,0.771528,21.831279
-0.087892,,,0.000000,85308.414062,2219.000000,-44735.257946,9003,,15,0.771181,7200,0.999805,,0,0.77355313,1.724433,1.692108,,0.400040,0.220833,2501.000000,,0.770486,23.352517
-0.089214,,,0.000000,84130.414062,2235.000000,-44240.309574,9087,,16,0.768403,7680,0.999940,,0,0.7791774,1.732371,1.716372,,0.396854,0.218750,2511.000000,,0.776042,24.871932
-0.089632,,,0.000000,86228.890625,2223.000000,-44866.739378,9195,,17,0.776736,8160,0.999855,,0,0.77602077,1.730253,1.717003,,0.388224,0.220833,2505.000000,,0.771875,26.397877
-0.087684,,,0.000000,86149.640625,2213.000000,-44720.600259,9071,,18,0.760417,8640,0.999745,,0,0.77177817,1.723293,1.714464,,0.390144,0.222917,2479.000000,,0.768403,27.935566
-0.086712,,,0.000000,85517.359375,2224.000000,-44932.257601,9147,,19,0.768056,9120,0.999838,,0,0.78435767,1.719370,1.664432,,0.384289,0.220833,2476.000000,,0.772222,29.467899
-0.088252,,,0.000000,87983.984375,2205.000000,-45504.069500,9079,,20,0.761806,9600,0.999160,,0,0.775272,1.722645,1.694355,,0.384141,0.227083,2457.000000,,0.765625,30.991992
-0.089055,,,0.000000,79072.671875,2186.000000,-43157.011788,8861,,21,0.749306,10080,0.999112,,0,0.7731832,1.748281,1.721678,,0.390745,0.220833,2424.000000,,0.759028,32.510333
-0.089906,,,0.000000,78112.937500,2190.000000,-42741.205378,8798,,22,0.744097,10560,0.999551,,0,0.7741689,1.753426,1.731544,,0.396819,0.225000,2431.000000,,0.760417,34.031736
-0.088418,,,0.000000,81838.078125,2197.000000,-43985.561016,8628,,23,0.737153,11040,0.999753,,0,0.7673598,1.770387,1.760022,,0.398075,0.225000,2389.000000,,0.762847,35.556319
-0.088917,,,0.000000,74629.242188,2196.000000,-41941.359074,8512,,24,0.725347,11520,0.999234,,0,0.76522475,1.761075,1.753193,,0.401154,0.225000,2369.000000,,0.762500,37.080522
-0.089145,,,0.000000,78008.882812,2217.000000,-43066.662520,8508,,25,0.719792,12000,0.999249,,0,0.76771694,1.765044,1.757282,,0.404202,0.216667,2380.000000,,0.769792,38.612516
-0.090758,,,0.000000,80573.437500,2190.000000,-43838.336906,8386,,26,0.718056,12480,0.998691,,0,0.7568084,1.768222,1.746064,,0.399628,0.222917,2328.000000,,0.760417,40.133649
-0.089949,,,0.000000,82823.304688,2211.000000,-44527.659564,8222,,27,0.695486,12960,0.999672,,0,0.7772565,1.744472,1.710638,,0.397126,0.225000,2273.000000,,0.767708,41.656342
-0.087238,,,0.000000,81833.132812,2219.000000,-44334.895747,8179,,28,0.693750,13440,0.999656,,0,0.7733663,1.741348,1.726715,,0.400806,0.220833,2275.000000,,0.770486,43.173713
-0.088137,,,0.000000,79889.804688,2214.000000,-43613.235295,8268,,29,0.695833,13920,0.999403,,0,0.77493787,1.739178,1.710692,,0.404494,0.220833,2314.000000,,0.768750,44.697760
-0.087649,,,0.000000,80378.070312,2214.000000,-43734.372794,8546,,30,0.725347,14400,0.999443,,0,0.7761713,1.747853,1.727206,,0.400533,0.222917,2376.000000,,0.768750,46.225662
-0.088065,,,0.000000,83069.359375,2214.000000,-44661.570650,8671,,31,0.738889,14880,0.999706,,0,0.76714414,1.755327,1.737788,,0.398098,0.222917,2401.000000,,0.768750,47.740612
-0.088358,,,0.000000,83682.132812,2222.000000,-44584.388498,8877,,32,0.748264,15360,0.999968,,0,0.774728,1.744495,1.729550,,0.397107,0.225000,2454.000000,,0.771528,49.254852
-0.087246,,,0.000000,81508.226562,2233.000000,-44164.140188,8991,,33,0.753125,15840,0.999672,,0,0.7754107,1.714675,1.681949,,0.393320,0.218750,2470.000000,,0.775347,50.786535
-0.086715,,,0.000000,89416.929688,2226.000000,-46202.130977,9242,,34,0.764931,16320,0.999806,,0,0.7811092,1.676426,1.644049,,0.382137,0.220833,2493.000000,,0.772917,52.297807
-0.087733,,,0.000000,88666.531250,2230.000000,-46072.178451,9173,,35,0.770139,16800,0.999544,,0,0.77623534,1.701763,1.677592,,0.389200,0.216667,2503.000000,,0.774306,53.838688
-0.089137,,,0.000000,84671.679688,2239.000000,-45129.999687,8959,,36,0.760764,17280,0.999490,,0,0.77771544,1.724347,1.710543,,0.401776,0.216667,2496.000000,,0.777431,55.382926
-0.088570,,,0.000000,82875.968750,2235.000000,-44825.567153,8571,,37,0.734375,17760,0.999413,,0,0.7772123,1.762202,1.754754,,0.410442,0.216667,2423.000000,,0.776042,56.914042
-0.089562,,,0.000000,87012.421875,2225.000000,-45769.477381,8718,,38,0.748264,18240,0.999664,,0,0.76709235,1.761076,1.742530,,0.405969,0.216667,2446.000000,,0.772569,58.451855
-0.089007,,,0.000000,81230.226562,2220.000000,-44195.393441,8665,,39,0.740625,18720,0.999668,,0,0.7730881,1.766961,1.750254,,0.405448,0.225000,2429.000000,,0.770833,59.987668
-0.089177,,,0.000000,80708.921875,2215.000000,-44114.306275,8683,,40,0.735764,19200,0.999534,,0,0.7801259,1.760501,1.734661,,0.400759,0.218750,2415.000000,,0.769097,61.521005
-0.091995,,,0.000000,86383.593750,2220.000000,-45669.548789,8485,,41,0.730208,19680,0.999545,,0,0.77291304,1.745454,1.735266,,0.406560,0.222917,2383.000000,,0.770833,63.048580
-0.086084,,,0.000000,79543.765625,2234.000000,-43999.718514,8566,,42,0.728125,20160,0.999568,,0,0.76247746,1.731470,1.702018,,0.404394,0.220833,2397.000000,,0.775694,64.587216
-0.087813,,,0.000000,81673.054688,2221.000000,-44377.258890,8603,,43,0.730903,20640,0.999718,,0,0.77294916,1.730671,1.708875,,0.402818,0.222917,2401.000000,,0.771181,66.121851
-0.088397,,,0.000000,76918.148438,2230.000000,-43160.256344,8743,,44,0.740278,21120,0.999742,,0,0.7719923,1.745175,1.728743,,0.403290,0.216667,2442.000000,,0.774306,67.649931
-0.086927,,,0.000000,80031.304688,2222.000000,-44029.489961,9047,,45,0.764931,21600,0.999825,,0,0.770062,1.727099,1.701812,,0.395173,0.218750,2493.000000,,0.771528,69.179667
-0.088977,,,0.000000,86675.546875,2227.000000,-45813.324600,8973,,46,0.764931,22080,0.999742,,0,0.77449894,1.732976,1.710967,,0.391331,0.222917,2457.000000,,0.773264,70.718588
-0.090162,,,0.000000,75855.882812,2209.000000,-42996.953840,8768,,47,0.744097,22560,0.999697,,0,0.7752782,1.746201,1.723686,,0.397388,0.218750,2425.000000,,0.767014,72.247160
-0.088531,,,0.000000,74998.437500,2222.000000,-42787.680215,8652,,48,0.739236,23040,0.999912,,0,0.7683391,1.765169,1.747761,,0.408532,0.220833,2438.000000,,0.771528,73.774495
-0.090342,,,0.000000,71576.398438,2187.000000,-41727.356270,8634,,49,0.741319,23520,0.999813,,0,0.78000623,1.772172,1.765108,,0.409520,0.231250,2437.000000,,0.759375,75.307933
-0.088428,,,0.000000,75266.687500,2209.000000,-42957.802831,8674,,50,0.751736,24000,0.999890,,0,0.77137446,1.775159,1.765533,,0.407514,0.225000,2440.000000,,0.767014,76.843713
-0.089313,,,0.000000,73845.703125,2190.000000,-42521.207585,8548,,51,0.736806,24480,0.999632,,0,0.7780981,1.782014,1.772543,,0.413959,0.229167,2431.000000,,0.760417,78.376836
