actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.098936,,,0.000000,1152.030396,27.000000,-6409.563926,6820,,1,0.732639,480,0.999848,,0,0.6585352,1.787834,1.785751,,0.527374,0.943750,2405.000000,,0.009375,1.711017
-0.094151,,,0.000000,1872.515015,182.000000,-7021.878741,7192,,2,0.737847,960,0.999701,,0,0.6733475,1.785336,1.777709,,0.509547,0.737500,2444.000000,,0.063194,2.980954
-0.090598,,,0.000000,4873.427734,552.000000,-9168.688986,7795,,3,0.772917,1440,0.999756,,0,0.67562914,1.776008,1.767542,,0.483433,0.572917,2515.000000,,0.191667,4.252956
-0.101878,,,0.000000,1282.408325,74.000000,-5860.609209,7286,,4,0.755556,1920,0.999843,,0,0.66641206,1.771587,1.755092,,0.505766,0.845833,2457.000000,,0.025694,5.513022
-0.088645,,,0.000000,3525.302246,707.000000,-8551.304602,8264,,5,0.789236,2400,0.999876,,0,0.682204,1.745592,1.732155,,0.458169,0.439583,2542.000000,,0.245486,6.782736
-0.087184,,,0.000000,7798.935547,909.000000,-11106.138184,8406,,6,0.795833,2880,0.999738,,0,0.694054,1.724262,1.712659,,0.459073,0.404167,2590.000000,,0.315625,8.049714
-0.088667,,,0.000000,8245.163086,1081.000000,-11956.732285,8560,,7,0.806250,3360,0.999962,,0,0.6881711,1.718781,1.705375,,0.445093,0.420833,2571.000000,,0.375347,9.315586
-0.088194,,,0.000000,3616.174316,660.000000,-8376.596901,8542,,8,0.809722,3840,0.999904,,0,0.6816604,1.726409,1.711131,,0.444097,0.554167,2561.000000,,0.229167,10.581892
-0.088627,,,0.000000,7017.384766,881.000000,-10737.883319,8394,,9,0.790625,4320,0.999834,,0,0.68402076,1.729293,1.712411,,0.450511,0.356250,2546.000000,,0.305903,11.845274
-0.086469,,,0.000000,1941.099731,381.000000,-6490.052811,8123,,10,0.770139,4800,0.999652,,0,0.6710409,1.723406,1.714952,,0.454319,0.668750,2481.000000,,0.132292,13.113974
-0.086477,,,0.000000,3372.914551,666.000000,-8096.119977,8499,,11,0.789583,5280,0.999927,,0,0.6792126,1.708413,1.687528,,0.441883,0.483333,2538.000000,,0.231250,14.386452
-0.087540,,,0.000000,3534.554688,629.000000,-7875.157636,8487,,12,0.784722,5760,0.999713,,0,0.67807937,1.700064,1.682339,,0.439802,0.445833,2525.000000,,0.218403,15.649992
-0.085901,,,0.000000,4012.268799,407.000000,-7376.597479,8268,,13,0.771528,6240,0.999537,,0,0.6904723,1.703625,1.664924,,0.443906,0.445833,2478.000000,,0.141319,16.917715
-0.087192,,,0.000000,1310.612183,209.000000,-5653.593760,7754,,14,0.744444,6720,0.999789,,0,0.6657166,1.713019,1.695408,,0.465094,0.716667,2416.000000,,0.072569,18.175261
-0.085123,,,0.000000,2235.430664,529.000000,-6884.239177,8494,,15,0.777431,7200,0.999721,,0,0.6742477,1.690433,1.665890,,0.436214,0.539583,2511.000000,,0.183681,19.443477
-0.085334,,,0.000000,3410.398682,526.000000,-7370.152930,8514,,16,0.782639,7680,0.999659,,0,0.698366,1.673969,1.650020,,0.433759,0.435417,2506.000000,,0.182639,20.706698
-0.086814,,,0.000000,1230.821777,292.000000,-5540.084049,8315,,17,0.769792,8160,0.999711,,0,0.6736515,1.682963,1.656031,,0.439615,0.697917,2473.000000,,0.101389,21.971361
-0.083590,,,0.000000,3989.789062,774.000000,-8489.550286,8728,,18,0.787500,8640,0.999761,,0,0.68023187,1.645254,1.612768,,0.420682,0.493750,2511.000000,,0.268750,23.239434
-0.082505,,,0.000000,1954.979858,518.000000,-6427.446571,8703,,19,0.787153,9120,0.999832,,0,0.6850145,1.632076,1.616086,,0.418637,0.541667,2495.000000,,0.179861,24.513026
-0.081599,,,0.000000,2176.445557,626.000000,-6806.823745,8915,,20,0.793056,9600,0.999871,,0,0.6817945,1.616443,1.579050,,0.411551,0.522917,2525.000000,,0.217361,25.800668
-0.081422,,,0.000000,2000.752441,528.000000,-6318.660953,8879,,21,0.794444,10080,0.999905,,0,0.6805826,1.599259,1.581760,,0.414391,0.537500,2527.000000,,0.183333,27.074745
-0.085221,,,0.000000,4963.013184,1017.000000,-9695.131774,9117,,22,0.810069,10560,0.999923,,0,0.6902659,1.621396,1.601035,,0.409215,0.433333,2572.000000,,0.353125,28.347669
-0.081304,,,0.000000,2835.458496,674.000000,-7419.778610,8735,,23,0.799653,11040,0.999906,,0,0.6886912,1.641515,1.622377,,0.427063,0.506250,2541.000000,,0.234028,29.610320
-0.084104,,,0.000000,1581.362549,437.000000,-5988.998907,8392,,24,0.778125,11520,0.999913,,0,0.66223836,1.664606,1.646387,,0.437835,0.658333,2488.000000,,0.151736,30.891959
-0.085989,,,0.000000,5039.483887,836.000000,-9253.756413,8782,,25,0.797569,12000,0.999855,,0,0.68421465,1.655148,1.635346,,0.422844,0.433333,2536.000000,,0.290278,32.173515
-0.084483,,,0.000000,1782.251099,397.000000,-6082.403438,8424,,26,0.787153,12480,0.999809,,0,0.67636144,1.663854,1.637635,,0.435010,0.533333,2485.000000,,0.137847,33.434331
-0.086382,,,0.000000,2108.510498,602.000000,-6812.681522,8579,,27,0.784722,12960,0.999942,,0,0.683585,1.631622,1.596535,,0.424846,0.570833,2486.000000,,0.209028,34.696006
-0.089090,,,0.000000,892.578491,224.000000,-4973.960738,8104,,28,0.754514,13440,0.999265,,0,0.6767506,1.605889,1.581215,,0.437222,0.766667,2400.000000,,0.077778,35.945610
-0.077387,,,0.000000,1828.677612,608.000000,-6324.225261,8841,,29,0.782986,13920,0.999964,,0,0.66288954,1.551357,1.531025,,0.407995,0.672917,2489.000000,,0.211111,37.216599
-0.075775,,,0.000000,5211.731934,1025.000000,-9501.774497,9450,,30,0.808681,14400,0.999780,,0,0.6959466,1.488439,1.463057,,0.388350,0.297917,2575.000000,,0.355903,38.499357
-0.076727,,,0.000000,6257.545898,1264.000000,-10917.462801,9276,,31,0.804167,14880,0.999766,,0,0.69030356,1.508091,1.443378,,0.396565,0.387500,2562.000000,,0.438889,39.785042
-0.080589,,,0.000000,6473.051758,1138.000000,-10690.120430,9332,,32,0.797569,15360,0.999815,,0,0.7032766,1.481967,1.420485,,0.391973,0.362500,2558.000000,,0.395139,41.059768
-0.078108,,,0.000000,1128.599121,346.000000,-5494.322084,8390,,33,0.762500,15840,0.999882,,0,0.6750744,1.575836,1.540958,,0.424554,0.725000,2430.000000,,0.120139,42.319747
-0.080968,,,0.000000,1868.240479,529.000000,-6480.257390,8569,,34,0.773958,16320,0.999821,,0,0.67389405,1.595737,1.564334,,0.422496,0.691667,2473.000000,,0.183681,43.581103
-0.082571,,,0.000000,1301.135742,390.000000,-5773.581571,8314,,35,0.759375,16800,0.999810,,0,0.6630017,1.614653,1.593615,,0.430704,0.762500,2434.000000,,0.135417,44.843348
-0.081606,,,0.000000,2188.083984,553.000000,-6599.928745,8688,,36,0.787847,17280,0.999723,,0,0.68355805,1.595498,1.575622,,0.418474,0.475000,2490.000000,,0.192014,46.114015
-0.084197,,,0.000000,1543.182373,451.000000,-5985.787548,8480,,37,0.785764,17760,0.999888,,0,0.67851275,1.627461,1.612054,,0.433761,0.652083,2496.000000,,0.156597,47.366400
-0.080958,,,0.000000,1345.561890,395.000000,-5603.416923,8579,,38,0.795833,18240,0.999639,,0,0.6837467,1.598478,1.558995,,0.432831,0.516667,2521.000000,,0.137153,48.654981
-0.079788,,,0.000000,4781.060059,697.000000,-8591.318137,8973,,39,0.818056,18720,0.999700,,0,0.6882604,1.569011,1.552036,,0.418546,0.475000,2572.000000,,0.242014,49.951359
-0.083041,,,0.000000,3623.798340,885.000000,-8495.873088,8615,,40,0.807986,19200,0.999914,,0,0.6802155,1.579154,1.558411,,0.436265,0.587500,2547.000000,,0.307292,51.229846
-0.081165,,,0.000000,1765.345825,419.000000,-6172.050630,8460,,41,0.788889,19680,0.999611,,0,0.67912716,1.610296,1.595560,,0.433735,0.581250,2490.000000,,0.145486,52.515598
-0.081590,,,0.000000,1167.998901,311.000000,-5399.538731,8310,,42,0.787847,20160,0.999848,,0,0.67545986,1.625951,1.610255,,0.438362,0.597917,2466.000000,,0.107986,53.781686
-0.083029,,,0.000000,866.563232,276.000000,-5143.305883,8168,,43,0.773958,20640,0.999853,,0,0.6687566,1.620498,1.609324,,0.444127,0.760417,2449.000000,,0.095833,55.068406
-0.082805,,,0.000000,2040.499756,656.000000,-6933.541161,8618,,44,0.801389,21120,0.999963,,0,0.66843706,1.590419,1.564366,,0.429800,0.614583,2519.000000,,0.227778,56.342985
-0.084856,,,0.000000,3331.944092,758.000000,-7987.975179,8898,,45,0.803819,21600,0.999803,,0,0.6797788,1.599438,1.548185,,0.418431,0.525000,2550.000000,,0.263194,57.616636
-0.080461,,,0.000000,3118.932129,972.000000,-8456.898197,9025,,46,0.806250,22080,0.999847,,0,0.68039703,1.592571,1.538735,,0.411285,0.404167,2555.000000,,0.337500,58.895457
-0.081793,,,0.000000,1148.317871,398.000000,-5518.939580,8577,,47,0.776042,22560,0.999708,,0,0.6767111,1.628130,1.612994,,0.424748,0.570833,2485.000000,,0.138194,60.164171
-0.081726,,,0.000000,1028.002319,340.000000,-5397.523744,8550,,48,0.779514,23040,0.999495,,0,0.67426497,1.633853,1.592890,,0.423777,0.556250,2473.000000,,0.118056,61.426929
-0.087035,,,0.000000,535.184570,167.000000,-4422.149551,8254,,49,0.763194,23520,0.999535,,0,0.6595118,1.641889,1.617225,,0.438503,0.820833,2450.000000,,0.057986,62.683282
-0.079714,,,0.000000,4797.756836,962.000000,-9486.045980,9022,,50,0.801042,24000,0.999878,,0,0.6794633,1.633533,1.617272,,0.412860,0.452083,2561.000000,,0.334028,63.950439
-0.082434,,,0.000000,5586.595703,975.000000,-10031.095384,9248,,51,0.811111,24480,0.999861,,0,0.6928267,1.612912,1.589357,,0.403740,0.402083,2585.000000,,0.338542,65.206640
-0.086681,,,0.000000,7753.680176,1089.000000,-11225.538464,8925,,52,0.793403,24960,0.999595,,0,0.71544945,1.624065,1.597832,,0.416438,0.331250,2549.000000,,0.378125,66.468787
-0.083558,,,0.000000,680.045776,228.000000,-4844.425246,7944,,53,0.752431,25440,0.999731,,0,0.66527694,1.631682,1.608596,,0.451987,0.814583,2416.000000,,0.079167,67.738801
